County,Province
Mombasa,Coast
Kwale,Coast
Kilifi,Coast
Tana River,Coast
Lamu,Coast
Taita-Taveta,Coast
Garissa,Northern
Wajir,Northern
Mandera,Northern
Marsabit,Eastern
Isiolo,Eastern
Meru,Eastern
Tharaka-Nithi,Eastern
Embu,Eastern
Kitui,Eastern
Machakos,Eastern
Makueni,Eastern
Nyandarua,Central
Nyeri,Central
Kirinyaga,Central
Murang'a,Central
Kiambu,Central
Turkana,Rift Valley
West Pokot,Rift Valley
Samburu,Rift Valley
Trans Nzoia,Rift Valley
Uasin Gishu,Rift Valley
Elgeyo-Marakwet,Rift Valley
Nandi,Rift Valley
Baringo,Rift Valley
Laikipia,Rift Valley
Nakuru,Rift Valley
Narok,Rift Valley
Kajiado,Rift Valley
Kericho,Rift Valley
Bomet,Rift Valley
Kakamega,Western
Vihiga,Western
Bungoma,Western
Busia,Western
Siaya,Nyanza
Kisumu,Nyanza
Homa Bay,Nyanza
Migori,Nyanza
Kisii,Nyanza
Nyamira,Nyanza
Nairobi,Nairobi