RCT_ID,County
AEARCTR-0000005,National
AEARCTR-0000016,Nairobi
AEARCTR-0000017,Rarieda
AEARCTR-0000019,Rarieda
AEARCTR-0000105,"Meru, Tharaka-Nithi"
AEARCTR-0000218,Nairobi
AEARCTR-0000287,"Kakamega, Kisii, Embu, Kitui"
AEARCTR-0000350,"Busia, Siaya"
AEARCTR-0000486,Western
AEARCTR-0000541,Siaya
AEARCTR-0000554,National
AEARCTR-0000627,Nairobi
AEARCTR-0000632,
AEARCTR-0000647,Nairobi
AEARCTR-0000705,Central
AEARCTR-0000728,
AEARCTR-0000740,Western
AEARCTR-0000766,Nairobi
AEARCTR-0000788,Nairobi
AEARCTR-0000791,Nairobi
AEARCTR-0000843,Nairobi
AEARCTR-0000893,Nairobi
AEARCTR-0000946,Western
AEARCTR-0000991,Western
AEARCTR-0000996,"Homa Bay, Siaya"
AEARCTR-0001008,Migori
AEARCTR-0001047,
AEARCTR-0001076,Western
AEARCTR-0001081,
AEARCTR-0001084,
AEARCTR-0001161,
AEARCTR-0001167,"Busia, Bungoma, Butere, Mumias"
AEARCTR-0001169,
AEARCTR-0001183,Busia
AEARCTR-0001187,Nairobi
AEARCTR-0001197,"Busia, Samia"
AEARCTR-0001304,Busia
AEARCTR-0001358,Busia
AEARCTR-0001361,
AEARCTR-0001371,
AEARCTR-0001373,"Meru, Tharaka-Nithi, Embu"
AEARCTR-0001432,"Kakamega, Bungoma"
AEARCTR-0001457,Nairobi
AEARCTR-0001484,Western
AEARCTR-0001500,Nairobi
AEARCTR-0001515,Northern 
AEARCTR-0001574,Nambale 
AEARCTR-0001592,Busia 
AEARCTR-0001706,Bungoma
AEARCTR-0001748,Busia
AEARCTR-0001750,Busia
AEARCTR-0001812,Kirinyaga
AEARCTR-0001824,Busia
AEARCTR-0001844,
AEARCTR-0001848,"Samburu, Isiolo, Laikipia"
AEARCTR-0001893,"Busia, Siaya"
AEARCTR-0001997,Nairobi
AEARCTR-0002015,Makueni
AEARCTR-0002019,Kitui
AEARCTR-0002026,Nairobi
AEARCTR-0002071,Nairobi
AEARCTR-0002133,"Busia, Nyeri "
AEARCTR-0002188,Busia
AEARCTR-0002360,
AEARCTR-0002370,Nairobi
AEARCTR-0002375,Western
AEARCTR-0002389,
AEARCTR-0002401,Tharaka-Nithi
AEARCTR-0002692,"Migori, Nyanza"
AEARCTR-0002741,Nairobi
AEARCTR-0002923,Siaya
AEARCTR-0003101,Western 
AEARCTR-0003177,"Central, Rift Valley "
AEARCTR-0003310,Garissa
AEARCTR-0003928,
AEARCTR-0003995,
AEARCTR-0004425,
AEARCTR-0004649,Nairobi
AEARCTR-0005170,Siaya 
AEARCTR-0005203,
AEARCTR-0005226,
AEARCTR-0005382,
AEARCTR-0005544,
AEARCTR-0005621,Nairobi
AEARCTR-0005704,Dandora
AEARCTR-0005941,Nairobi
AEARCTR-0005969,"Kakamega, Bungoma "
AEARCTR-0005971,Nairobi
AEARCTR-0006047,
AEARCTR-0006089,Kakamega
AEARCTR-0006099,
AEARCTR-0006228,
AEARCTR-0006267,Kwale
AEARCTR-0006675,Western
AEARCTR-0006698,
AEARCTR-0006717,Siaya
AEARCTR-0006837,
AEARCTR-0006913,
AEARCTR-0006954,
AEARCTR-0007067,"Meru, Tharaka-Nithi"
AEARCTR-0007168,Western
AEARCTR-0007435,"Bungoma, Busia, Embu, Machakos, Makeuni, Meru, Tharaka Nithi"
AEARCTR-0007663,
AEARCTR-0007738,Nakuru 
AEARCTR-0007744,"Makeuni, Machakos, Kitui "
AEARCTR-0008000,
AEARCTR-0008449,
AEARCTR-0008558,
AEARCTR-0008754,
AEARCTR-0009315,Nairobi
AEARCTR-0009348,Busia 
AEARCTR-0009448,
AEARCTR-0009644,Machakos
AEARCTR-0009721,
AEARCTR-0009779,
AEARCTR-0009930,Kisumu
AEARCTR-0010051,Nairobi
AEARCTR-0010101,Nairobi
AEARCTR-0010113,Nairobi
AEARCTR-0010170,
AEARCTR-0010651,"Busia, Bungoma, Machakos, Makueni, Embu, Meru, Tharaka-Nithi"
AEARCTR-0011089,Kibera
AEARCTR-0011135,Western
AEARCTR-0011184,Northern
AEARCTR-0011253,"Isiolo, Samburu, Garissa, Marsabit, Turkana"
AEARCTR-0011741,Mount Kenya Region
AEARCTR-0011880,Nairobi
AEARCTR-0011937,Eastern and Western Kenya
AEARCTR-0012126,Western
AEARCTR-0012237,
AEARCTR-0012636,Tharaka-Nithi
AEARCTR-0012859,
AEARCTR-0000030,
AEARCTR-0000067,Bungoma
AEARCTR-0000170,
AEARCTR-0000323,Kisumu
AEARCTR-0000435,
AEARCTR-0000443,"Western, Nyanza, Central"
AEARCTR-0000459,Nairobi
AEARCTR-0000505,
AEARCTR-0000521,
AEARCTR-0000605,Nairobi
AEARCTR-0000662,"Kisumu, Nyanza"
AEARCTR-0000669,"Kisumu, Nyanza"
AEARCTR-0000676,Nairobi
AEARCTR-0000790,Nairobi
AEARCTR-0000844,Nairobi
AEARCTR-0000907,Nairobi
AEARCTR-0000912,Western
AEARCTR-0000934,Nairobi
AEARCTR-0000941,
AEARCTR-0000947,
AEARCTR-0000962,"Wajir, Nairobi"
AEARCTR-0001001,
AEARCTR-0001002,Nairobi
AEARCTR-0001191,
AEARCTR-0001293,Kirinyaga
AEARCTR-0001306,
AEARCTR-0001482,Nairobi
AEARCTR-0001643,Western
AEARCTR-0001902,Nairobi
AEARCTR-0001952,
AEARCTR-0002063,Nairobi
AEARCTR-0002313,"Kiambu, Machakos"
AEARCTR-0002448,"Ndaragwa, Central"
AEARCTR-0002484,Nairobi
AEARCTR-0002550,
AEARCTR-0002579,Kirinyaga
AEARCTR-0002850,Bungoma
AEARCTR-0002913,Western
AEARCTR-0002918,
AEARCTR-0002948,Western
AEARCTR-0003138,"Western, Nyanza"
AEARCTR-0003224,Siaya
AEARCTR-0003389,
AEARCTR-0003556,Nairobi
AEARCTR-0003628,
AEARCTR-0003720,
AEARCTR-0003937,Nairobi
AEARCTR-0004110,Western
AEARCTR-0004498,Nairobi
AEARCTR-0004530,
AEARCTR-0004705,
AEARCTR-0004789,
AEARCTR-0004818,Nairobi
AEARCTR-0005113,Kisumu
AEARCTR-0005164,
AEARCTR-0005510,"Bungoma, Busia, Kakamega, Transnzoia"
AEARCTR-0005517,Busia
AEARCTR-0005564,Nairobi
AEARCTR-0005569,
AEARCTR-0005698,
AEARCTR-0005787,
AEARCTR-0005822,Northern
AEARCTR-0005845,Kakamega
AEARCTR-0005940,
AEARCTR-0006001,Nairobi
AEARCTR-0006126,Kiambu
AEARCTR-0006413,Western
AEARCTR-0006577,
AEARCTR-0007166,
AEARCTR-0007265,
AEARCTR-0007424,Nairobi
AEARCTR-0007477,
AEARCTR-0007699,
AEARCTR-0007965,
AEARCTR-0008292,"Mombasa, Nairobi"
AEARCTR-0009021,
AEARCTR-0009075,Nairobi
AEARCTR-0009102,Western
AEARCTR-0009163,Machakos
AEARCTR-0009200,"Kisumu, Siaya"
AEARCTR-0009546,
AEARCTR-0009634,Busia
AEARCTR-0009662,
AEARCTR-0009676,Nairobi
AEARCTR-0009743,Kisumu
AEARCTR-0009911,Nairobi
AEARCTR-0010091,
AEARCTR-0010426,Central
AEARCTR-0010429,
AEARCTR-0010440,
AEARCTR-0010471,
AEARCTR-0010574,
AEARCTR-0011088,
AEARCTR-0011126,Kakamega
AEARCTR-0011205,Nairobi
AEARCTR-0011423,
AEARCTR-0011473,"Bomet, Bungoma, Nyeri, Baringo"
AEARCTR-0011498,
AEARCTR-0011608,
AEARCTR-0011739,
AEARCTR-0011747,
AEARCTR-0011769,Nairobi
AEARCTR-0012044,Western
AEARCTR-0012282,
AEARCTR-0012495,
AEARCTR-0012704,
AEARCTR-0012728,
AEARCTR-0012796,Nairobi
AEARCTR-0003679,Nairobi